player,fantasyPts
Josh Allen,268.5
Drake Maye,228.9
Patrick Mahomes,223.8
Justin Herbert,215.1
Matthew Stafford,207.4
Jalen Hurts,205.3
Daniel Jones,203.7
Bo Nix,200.1
Dak Prescott,199.2
Caleb Williams,186.4
Baker Mayfield,185.3
Jared Goff,181.8
Trevor Lawrence,170.1
Jordan Love,168.3
Jaxson Dart,167.4
Sam Darnold,164.6
Aaron Rodgers,150.4
Joe Flacco,146.5
Tua Tagovailoa,143.7
Lamar Jackson,143.3
Bryce Young,141.8
Justin Fields,139.7
Mac Jones,138.1
Geno Smith,128.5
CJ Stroud,126
Michael Penix Jr,125.3
Jayden Daniels,115.6
Jacoby Brissett,113.8
Spencer Rattler,107.1
Cam Ward,104.1
Marcus Mariota,90.9
Kyler Murray,82.8
Carson Wentz,73.3
JJ McCarthy,72.7
Dillon Gabriel,72.1
Davis Mills,65
Brock Purdy,57.7
Jake Browning,56.2
Russell Wilson,52.8
Tyler Shough,34.5
Tyrod Taylor,32.2
Tyler Huntley,23.4
Joe Burrow,15.9
Andy Dalton,14.5
Jameis Winston,14
Kirk Cousins,10.4
Mason Rudolph,9.5
Cooper Rush,7.7
Joe Milton III,7
Malik Willis,5.8
Trey Lance,4.4
Tyson Bagent,2.6
Shedeur Sanders,2.5
Mitch Trubisky,2.3
Quinn Ewers,2.1
Max Brosmer,1.6
Zach Wilson,1.6
Jalen Milroe,0.4
Anthony Richardson,0.3
Kenny Pickett,0.3
Riley Leonard,0.1
Drew Lock,0.1
Joshua Dobbs,0.1
Kedon Slovis,0
Brett Rypien,0
Nick Mullens,0
Josh Johnson,0
Adrian Martinez,-0.1
Jarrett Stidham,-0.1
Tanner McKee,-0.2
Teddy Bridgewater,-0.2
Kyle Allen,-0.3
Jimmy Garoppolo,-0.3
Gardner Minshew,-0.6
Jahdae Walker,0
Isaac TeSlaa,22.5
Isaiah Bond,25
Ryan Flournoy,51.5
Tetairoa McMillan,152.8
Luther Burden III,50.5
Gage Larvadain,4.5
Jackson Meeks,0
Ja'Corey Brooks,0
Dont'e Thornton Jr,15.8
Devontez Walker,21
Konata Mumpfield,9.2
Emeka Egbuka,153.6
Keon Coleman,83
Tai Felton,1.9
Xavier Worthy,68.4
Jaxon Smith-Njigba,219.9
Kyle Williams,18
Tory Horton,59.1
Jalin Hyatt,8.5
Malik Heath,14.6
Kayshon Boutte,96.1
Quentin Johnston,123.9
Jordan Addison,88.8
Marvin Mims Jr,63
Jordan Watkins,4.6
Jalen Brooks,0
Mason Tipton,0
Wan'Dale Robinson,133
Casey Washington,15.4
Jameson Williams,118.2
Xavier Weaver,3.5
Devaughn Vele,17.4
George Pickens,190.8
Treylon Burks,11.2
