Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	18775	Chase, Ja'Marr	CIN	WR	1.12	1	4		103		
2	20271	Robinson, Bijan	ATL	RB	2.44	1	6		103		
3	20272	Gibbs, Jahmyr	DET	RB	3.44	1	6		103		
4	17965	Lamb, CeeDee	DAL	WR	3.83	2	7		103		
5	16062	Barkley, Saquon	PHI	RB	5.11	2	8		103		
6	17972	Jefferson, Justin	MIN	WR	5.69	2	8		103		
7	15222	McCaffrey, Christian	SF	RB	7.50	3	14		103		
8	21122	Nabers, Malik	NYG	WR	8.78	6	12		103		
9	18827	St. Brown, Amon-Ra	DET	WR	10.17	6	16		103		
10	21131	Thomas, Brian	JAX	WR	10.51	7	17		103		
11	18836	Collins, Nico	HOU	WR	11.11	7	16		103		
12	22055	Jeanty, Ashton	LV	RB	11.50	5	18		103		
13	19433	London, Drake	ATL	WR	13.34	6	20		103		
14	15055	Henry, Derrick	BAL	RB	13.47	7	19		103		
15	20336	Nacua, Puka	LA	WR	14.41	8	22		103		
16	20292	Brown, Chase	CIN	RB	16.76	11	25		103		
17	20284	Achane, De'Von	MIA	RB	18.17	12	27		103		
18	16998	Jacobs, Josh	GB	RB	19.66	14	26		103		
19	17004	Brown, A.J.	PHI	WR	19.75	14	26		103		
20	17962	Taylor, Jonathan	IND	RB	19.97	13	28		103		
21	21136	Irving, Bucky	TB	RB	20.04	11	31		103		
22	21123	Bowers, Brock	LV	TE	20.75	13	29		103		
23	21139	McConkey, Ladd	LAC	WR	22.00	14	29		103		
24	20273	Smith-Njigba, Jaxon	SEA	WR	26.50	21	35		103		
25	17971	Higgins, Tee	CIN	WR	27.20	17	35		103		
26	19450	Williams, Kyren	LA	RB	27.34	17	43		103		
27	19439	McBride, Trey	ARZ	TE	28.00	20	40		103		
28	16081	Jackson, Lamar	BAL	QB	28.91	17	38		103		
29	22069	Hampton, Omarion	LAC	RB	30.17	8	46		103		
30	16074	Allen, Josh	BUF	QB	30.80	23	42		103		
31	19431	Wilson, Garrett	NYJ	WR	32.08	19	45		103		
32	21121	Harrison, Marvin	ARZ	WR	33.50	22	51		103		
33	22072	Henderson, TreVeyon	NE	RB	34.22	21	49		103		
34	14725	Hill, Tyreek	MIA	WR	34.68	20	46		103		
35	19467	Cook, James	BUF	RB	37.26	20	51		103		
36	22059	McMillan, Tetairoa	CAR	WR	37.47	26	51		103		
37	12729	Adams, Davante	LA	WR	38.46	18	51		103		
38	17062	McLaurin, Terry	WAS	WR	38.48	27	49		103		
39	12686	Evans, Mike	TB	WR	38.74	27	51		103		
40	17968	Burrow, Joe	CIN	QB	39.01	24	58		103		
41	21128	Worthy, Xavier	KC	WR	40.70	28	58		103		
42	21126	Daniels, Jayden	WAS	QB	41.14	25	58		103		
43	15360	Kittle, George	SF	TE	42.31	28	57		103		
44	19430	Walker, Kenneth	SEA	RB	43.19	24	59		103		
45	16066	Sutton, Courtland	DEN	WR	44.55	33	56		103		
46	19437	Pickens, George	DAL	WR	46.53	35	66		103		
47	19427	Hall, Breece	NYJ	RB	47.58	24	65		103		
48	17002	Metcalf, DK	PIT	WR	48.71	31	59		103		
49	15293	Kamara, Alvin	NO	RB	48.85	36	61		103		
50	16134	Moore, DJ	CHI	WR	49.28	37	64		103		
51	17999	Hurts, Jalen	PHI	QB	50.39	23	68		103		
52	16065	Ridley, Calvin	TEN	WR	50.92	34	61		103		
