Player,Points
Ja'Marr Chase,390.8
Christian McCaffrey,336.8
Jahmyr Gibbs,334.6
Saquon Barkley,327.2
Bijan Robinson,321.1
Justin Jefferson,344.7
De'Von Achane,299.2
CeeDee Lamb,322.7
Amon-Ra St Brown,315.9
Puka Nacua,298.2
Brian Thomas Jr,286.7
Nico Collins,285.8
Ladd McConkey,284.3
Drake London,282.1
Malik Nabers,281.5
Tyreek Hill,279.4
Jaxon Smith-Njigba,279.3
Brock Bowers,270.6
AJ Brown,270.6
Josh Jacobs,227.9
Marvin Harrison Jr,264.8
Derrick Henry,223.5
Tee Higgins,263.6
Chase Brown,222.5
Ashton Jeanty,219.9
Breece Hall,218.8
Terry McLaurin,253.9
Bucky Irving,212.2
Mike Evans,252.5
Kenneth Walker III,210.8
Jonathan Taylor,210.6
Trey McBride,242
Kyren Williams,208.4
Omarion Hampton,206.7
Alvin Kamara,204.5
James Conner,202.7
Garrett Wilson,242.9
Isiah Pacheco,198.2
Aaron Jones,197.4
Lamar Jackson,384.1
Josh Allen,384.1
George Kittle,225.5
Jauan Jennings,231
DK Metcalf,229.7
James Cook,189.1
Zay Flowers,228.3
Davante Adams,226.8
Courtland Sutton,222.6
Jaylen Warren,181.3
Austin Ekeler,180.4
D'Andre Swift,180
DeVonta Smith,218.9
Travis Etienne Jr,177.9
David Montgomery,175.3
Chris Godwin,213.3
Tony Pollard,171.9
Travis Kelce,204.7
Jerry Jeudy,210.3
DJ Moore,210.1
Calvin Ridley,209.4
Deebo Samuel,209.3
Jakobi Meyers,207.6
Stefon Diggs,207.4
TJ Hockenson,200.1
Chuba Hubbard,165.6
Mark Andrews,197.4
Javonte Williams,164.1
Chris Olave,203.7
Cooper Kupp,202.7
TreVeyon Henderson,159.7
Xavier Worthy,200.1
Joe Mixon,159.2
Marvin Mims Jr,198.9
Jalen Hurts,348.7
Tyrone Tracy,155.4
JK Dobbins,152
Rachaad White,151.4
Rashid Shaheed,191.8
Michael Pittman Jr,191.8
Zach Charbonnet,151.2
Jaylen Waddle,190.4
Tyler Lockett,190
David Njoku,182.3
Jerome Ford,148.6
George Pickens,188.7
Jameson Williams,188.6
Joe Burrow,338.9
Patrick Mahomes,336.1
Jayden Daniels,335.9
Keon Coleman,185.4
Jayden Reed,184.6
Travis Hunter,184.6
Matthew Golden,184.1
Najee Harris,142
Jordan Mason,141.9
Brian Robinson,141.8
Sam LaPorta,174.1
Tyjae Spears,139.5
Ricky Pearsall,177.4
Kaleb Johnson,136.7
Khalil Shakir,176.5
RJ Harvey,134.4
Kyler Murray,323.7
Darnell Mooney,172.2
Rashee Rice,171.7
Baker Mayfield,320.8
Rome Odunze,170.1
Dylan Sampson,129.3
Blake Corum,128.3
JJ McCarthy,318.4
Bo Nix,314.9
Justin Herbert,313.3
Jared Goff,313.3
Josh Downs,161.7
Khalil Herbert,118.8
Jake Ferguson,150.4
Woody Marks,115.5
Brock Purdy,306.1
Rico Dowdle,114.5
Cam Skattebo,114.4
Xavier Legette,154.4
Tank Bigsby,113
Tyler Warren,145.6
Tre Harris,152.3
Jaylen Wright,110.8
Dalton Kincaid,142.7
Jaleel McLaughlin,108.4
CJ Stroud,298.6
Rhamondre Stevenson,107.2
Hollywood Brown,146.1
Jordan Love,296.4
MarShawn Lloyd,104.9
Tetairoa McMillan,144.6
Anthony Richardson,293.5
Zamir White,102.6
Jordan Addison,142.4
Trey Benson,101.5
Evan Engram,134.2
Cedric Tillman,139.6
Adam Thielen,139.6
Rashod Bateman,139.2
Justin Fields,285.5
Wan'Dale Robinson,135.2
Zack Moss,94.3
Kareem Hunt,93.9
Zach Ertz,124.8
Quentin Johnston,130.8
Isaiah Likely,123
Tucker Kraft,121.6
Mike Gesicki,120.8
Denver D/ST,122.6
Philadelphia D/ST,116.6
Keaton Mitchell,86.3
Miami D/ST,114.5
Christian Kirk,126.7
Baltimore D/ST,113.8
Antonio Gibson,85.9
Buffalo D/ST,112.2
Cameron Dicker,156.8
Minnesota D/ST,109.9
Chase McLaughlin,155
Raheem Mostert,85.2
Jake Bates,152.3
Brenton Strange,118.1
Jason Sanders,149.7
San Francisco D/ST,106.4
Brandon McManus,148.7
Sam Darnold,275.6
Houston D/ST, 
Los Angeles Chargers D/ST,105.7
Spencer Shrader,147.8
Chris Boswell,147.5
Cairo Santos,147.4
Washington D/ST,105.1
Chad Ryland,146.1
Cameron Ward,275.4
Tampa Bay D/ST,104.5
Joshua Karty,144.4
Brandon Aubrey,144.3
Harrison Butker,144.3
Detroit D/ST,103.4
Matthew Stafford,275.1
Kansas City D/ST,102.1
Will Reichard,141.1
Caleb Williams,275
Cade Otton,117.3
Tyler Bass,141.1
Ray Davis,84.1
Diontae Johnson,124.7
Las Vegas D/ST,101.5
Cam Little,139.1
Seattle D/ST,101
New Orleans D/ST,101
Daniel Carlson,138.7
Ka'imi Fairbairn,138.6
Green Bay D/ST,100.8
Pittsburgh D/ST,100.8
Arizona D/ST,100.8
Jason Myers,137.6
Jake Elliot,137.4
