Rank,Player,Team,FantasyPts
1,Josh Allen,BUF,341.4
2,Jayden Daniels,WAS,339.5
3,Lamar Jackson,BLT,338.5
4,Ja'Marr Chase,CIN,333.4
5,Jalen Hurts,PHI,333.3
6,Joe Burrow,CIN,314.9
7,Patrick Mahomes,KC,306.9
8,Bijan Robinson,ATL,299.4
9,Baker Mayfield,TB,297
10,Jahmyr Gibbs,DET,295.1
11,Justin Jefferson,MIN,291.2
12,Ashton Jeanty,LV,290.3
13,Brock Purdy,SF,288.3
14,Brian Thomas Jr,JAX,287.1
15,Saquon Barkley,PHI,285.5
16,Puka Nacua,LA,285.3
17,Bucky Irving,TB,281.8
18,Bo Nix,DEN,279.9
19,Kyler Murray,ARZ,277.8
20,Justin Fields,NYJ,277.8
21,Nico Collins,HST,277.3
22,Christian McCaffrey,SF,277.2
23,Dak Prescott,DAL,276.1
24,Jared Goff,DET,276
25,De'Von Achane,MIA,275.6
26,Justin Herbert,LAC,275
27,CeeDee Lamb,DAL,274.6
28,Amon-Ra St Brown,DET,270
29,Jordan Love,GB,266
30,Malik Nabers,NYG,266
31,Tua Tagovailoa,MIA,264.2
32,Geno Smith,LV,260.3
33,Drake London,ATL,259.4
34,CJ Stroud,HST,259.2
35,JJ McCarthy,MIN,257.3
36,AJ Brown,PHI,255.7
37,Sam Darnold,SEA,254.8
38,Aaron Rodgers,PIT,254.1
39,Trevor Lawrence,JAX,254
40,Matthew Stafford,LA,253.8
41,Derrick Henry,BLT,252.5
42,Josh Jacobs,GB,252
43,Ladd McConkey,LAC,249.7
44,Drake Maye,NE,249.3
45,Kenneth Walker III,SEA,248.1
46,Brock Bowers,LV,245.9
47,Tee Higgins,CIN,245.7
48,Jonathan Taylor,IND,242.7
49,Cam Ward,TEN,242.3
50,Kyren Williams,LA,241.9
51,Caleb Williams,CHI,240.2
52,Garrett Wilson,NYJ,239.6
53,Anthony Richardson,IND,237.2
54,Trey McBride,ARZ,235.9
55,Terry McLaurin,WAS,235
56,Michael Penix Jr,ATL,234.7
57,Marvin Harrison Jr,ARZ,233.1
58,Tyler Shough,NO,232.9
59,Mike Evans,TB,232.6
60,James Cook,BUF,231.7
61,Omarion Hampton,LAC,227.9
62,Rashee Rice,KC,227.5
63,Chase Brown,CIN,225.9
64,Davante Adams,LA,225.2
65,DK Metcalf,PIT,223.4
66,DJ Moore,CHI,223.4
67,Breece Hall,NYJ,223.3
68,Bryce Young,CAR,223.1
69,Alvin Kamara,NO,221.6
70,RJ Harvey,DEN,220
71,Quinshon Judkins,CLV,219.1
72,James Conner,ARZ,218.8
73,Tyreek Hill,MIA,217.9
74,Jaxon Smith-Njigba,SEA,217.9
75,Joe Mixon,HST,217.2
76,Chuba Hubbard,CAR,216.7
77,Tetairoa McMillan,CAR,216.1
78,Travis Hunter,JAX,215.5
79,Jameson Williams,DET,215.1
80,DeVonta Smith,PHI,214.1
81,Xavier Worthy,KC,213.6
82,Zay Flowers,BLT,212.7
83,Jaylen Waddle,MIA,210
84,Kenny Pickett,CLV,209.8
85,George Kittle,SF,209.3
86,D'Andre Swift,CHI,209
87,Russell Wilson,NYG,208
88,Aaron Jones,MIN,205.8
89,Tony Pollard,TEN,205.1
90,Courtland Sutton,DEN,202.6
91,Deebo Samuel,WAS,198.4
92,Chris Godwin,TB,197.7
93,Jordan Addison,MIN,196.9
94,Jakobi Meyers,LV,196.7
95,Chris Olave,NO,195.8
96,Brandon Aiyuk,SF,195.6
97,Jerry Jeudy,CLV,195.2
