Rk,Player,Team,Position,ADP,Bye,FPTS,Notes,Grp
1,Ja'Marr Chase,CIN,WR,2.56,10,355,,
2,CeeDee Lamb,DAL,WR,9.52,10,301,,
3,Bijan Robinson,ATL,RB,3.96,5,329,,
4,Jahmyr Gibbs,DET,RB,5.91,8,324,,
5,Saquon Barkley,PHI,RB,5.99,9,311,,
6,Justin Jefferson,MIN,WR,7,6,295,,
7,Christian McCaffrey,SF,RB,7.43,14,288,,
8,Amon-Ra St Brown,DET,WR,11.44,8,288,,
9,Puka Nacua,LAR,WR,12.5,8,281,,
10,Brian Thomas Jr,JAX,WR,26.29,8,269,,
11,Nico Collins,HOU,WR,16.26,6,281,,
12,Ashton Jeanty,LV,RB,15.96,8,252,,
13,AJ Brown,PHI,WR,24.23,9,261,,
14,De'von Achane,MIA,RB,15.89,12,276,,
15,Derrick Henry,BAL,RB,18.07,7,274,,
16,Ladd McConkey,LAC,WR,30.94,12,245,,
17,Chase Brown,CIN,RB,30.89,10,258,,
18,Brock Bowers,LV,TE,24.35,8,257,,
19,Drake London,ATL,WR,18.51,5,271,,
20,Trey McBride,ARI,TE,24.86,8,234,,
21,Tee Higgins,CIN,WR,33.04,10,257,,
22,Bucky Irving,TB,RB,28.95,9,259,,
23,Jonathan Taylor,IND,RB,11.98,11,263,,
24,Josh Jacobs,GB,RB,18.25,5,259,,
25,Josh Allen,BUF,QB,22.78,7,362,,
26,Lamar Jackson,BAL,QB,25.61,7,359,,
27,Davante Adams,LAR,WR,40.08,8,250,,
28,Mike Evans,TB,WR,64.97,9,251,,
29,George Kittle,SF,TE,35.36,14,226,,
30,James Cook,BUF,RB,30.51,7,233,,
31,Omarion Hampton,LAC,RB,49.34,12,207,,
32,Jaxon Smith-Njigba,SEA,WR,23.39,8,250,,
33,Kyren Williams,LAR,RB,31.32,8,245,,
34,Jalen Hurts,PHI,QB,35.07,9,355,,
35,Marvin Harrison Jr,ARI,WR,56.57,8,226,,
36,Jayden Daniels,WSH,QB,42.19,12,360,,
37,Tetairoa McMillan,CAR,WR,73.59,14,210,,
38,Xavier Worthy,KC,WR,70.99,10,218,,
39,Terry McLaurin,WSH,WR,52.16,12,250,,
40,Courtland Sutton,DEN,WR,75.44,12,217,,
41,Breece Hall,NYJ,RB,56.42,9,210,,
42,George Pickens,DAL,WR,57.99,10,221,,
43,TreVeyon Henderson,NE,RB,57.88,14,198,,
44,Jameson Williams,DET,WR,80.7,8,203,,
45,Calvin Ridley,TEN,WR,89.19,10,214,,
46,DJ Moore,CHI,WR,78.68,5,234,,
47,Garrett Wilson,NYJ,WR,53.56,9,237,,
48,Kenneth Walker III,SEA,RB,56.74,8,213,,
49,DeVonta Smith,PHI,WR,65.35,9,223,,
50,Jaylen Waddle,MIA,WR,66.49,12,210,,
51,DK Metcalf,PIT,WR,56.63,5,238,,
52,Zay Flowers,BAL,WR,71.36,7,221,,
53,Alvin Kamara,NO,RB,52.6,11,230,,
54,Chuba Hubbard,CAR,RB,58,14,219,,
55,Sam LaPorta,DET,TE,55.13,8,181,,
